id,symbol,state_id
258,PROLIFE,1000
259,PROSEED,1000
260,PSL,1000
261,QVC,1000
262,RADAAN,1000
263,RADICO,1000
264,RAIN,1000
265,RAINBOWPAP,1000
266,RAJMET,1000
267,RAJRAYON,1000
268,RAJSREESUG,1000
269,RAJVIR,1000
270,RAMASTEEL,1000
271,RAMGOPOLY,1000
272,RAMKY,1000
273,RAMSARUP,1000
274,RANASUG,1000
275,REFEX,1000
276,REGENCERAM,1000
277,RENUKA,1000
278,RESPONIND,1000
279,RKDL,1000
280,RMDRIP,1000
281,RNAVAL,1000
282,ROHITFERRO,1000
283,ROLTA,1000
284,RTNINFRA,1000
285,RUCHINFRA,1000
286,RUCHISOYA,1000
287,SABTN,1000
288,SAKHTISUG,1000
289,SALONA,1000
290,SALORAINTL,1000
291,SANGHVIFOR,1000
292,SANGINITA,1000
293,SARVESHWAR,1000
294,SCAPDVR,1000
295,SEAMECLTD,1000
296,SELMCL,1000
297,SEPOWER,1000
298,SEQUENT,1000
299,SEZAL,1000
300,SGFL,1000
301,SGL,1000
302,SHAHALLOYS,1000
303,SHARONBIO,1000
304,SHILPI,1000
305,SHRIPISTON,1000
306,SIIL,1000
307,SIL,1000
308,SILGO,1000
309,SIMBHALS,1000
310,SIMPLEX,1000
311,SITASHREE,1000
312,SKIL,1000
313,SKMEGGPROD,1000
314,SKSTEXTILE,1000
315,SMPL,1000
316,SOLARA,1000
317,SOMATEX,1000
318,SORILINFRA,1000
319,SPCENET,1000
320,SPECTRUM,1000
321,SPENTEX,1000
322,SPLIL,1000
323,SPYL,1000
324,SRIRAM,1000
325,SRSLTD,1000
326,STAMPEDE,1000
327,STEELXIND,1000
328,STEL,1000
329,SUBCAPCITY,1000
330,SUMEETINDS,1000
331,SUNILHITEC,1000
332,SUPERSPIN,1000
333,SUPREMEINF,1000
334,SURANACORP,1000
335,SURANAIND,1000
336,SURANASOL,1000
337,SUREVIN,1000
338,SYNCOM,1000
339,TANLA,1000
